Number of Branches Processed,Accuracy (%)
10000,95.94
20000,95.86
30000,95.67999999999999
40000,95.6825
50000,95.456
60000,95.51666666666667
70000,95.54142857142857
80000,95.575
90000,95.59333333333333
100000,95.581
110000,95.57545454545455
120000,95.60333333333332
130000,95.63692307692307
140000,95.41071428571428
150000,95.34666666666666
160000,95.3925
170000,95.43058823529412
180000,95.40555555555555
190000,95.35842105263158
200000,95.3655
210000,95.3647619047619
220000,95.39999999999999
230000,95.4191304347826
240000,95.41791666666667
250000,95.4036
260000,95.37
270000,95.36259259259259
280000,95.36392857142857
290000,95.36586206896551
300000,95.38066666666667
310000,95.36451612903227
320000,95.3509375
330000,95.37181818181818
340000,95.37558823529412
350000,95.38628571428572
360000,95.38250000000001
370000,95.39567567567568
380000,95.3892105263158
390000,95.38871794871795
400000,95.40725
