Number of Branches Processed,Accuracy (%)
10000,4.38
20000,4.365
30000,5.06
40000,5.8575
50000,6.842
60000,7.6499999999999995
70000,8.475714285714284
80000,9.256250000000001
90000,10.137777777777778
100000,10.812
110000,11.386363636363637
120000,11.919166666666667
130000,12.406153846153845
140000,12.882142857142856
150000,13.260666666666667
160000,13.6075
170000,13.988823529411764
180000,14.33611111111111
190000,14.67421052631579
200000,14.987
210000,15.283333333333331
220000,15.534545454545453
230000,15.728695652173913
240000,15.924166666666666
250000,16.136400000000002
260000,16.321538461538463
270000,16.48925925925926
280000,16.67892857142857
290000,16.85206896551724
300000,16.988
310000,17.171290322580646
320000,17.2934375
330000,17.453636363636363
340000,17.60264705882353
350000,17.742857142857144
360000,17.860277777777778
370000,17.958378378378377
380000,18.05
390000,18.144615384615385
400000,18.25775
